Desc	Orthogroup	Anas	Caug	Cqua	Cscu	Dapu	Dgal	Dmag	Dmel	Dpte	Dpul	Dsil	Dste	Eaff	Ebro	Gmae	Hame	Hazt	Hexe	Hhol	Iele	Lpol	Nstr	Pcau	Pchi	Pcla	Popi	Ppac	Ppol	Psam	Ptep	Rimm	Rvar	Smar	Tcal	Tcas	Tqin	Tuco	Znev
(null)	OG0000154	0	14	9	8	3	4	5	3	2	4	26	5	8	13	13	6	10	25	9	8	41	2	12	11	10	11	12	3	32	12	12	37	8	10	4	14	7	7
(null)	OG0000156	5	15	6	7	18	5	9	3	3	12	11	3	13	11	5	3	16	2	5	4	7	5	12	7	8	6	4	2	22	6	4	3	2	9	3	6	5	3
(null)	OG0000157	6	20	10	7	24	22	36	20	4	28	8	13	24	11	10	11	22	4	2	4	9	3	11	19	17	4	9	3	32	9	6	6	5	13	7	29	14	7
(null)	OG0000158	5	16	5	1	9	10	8	1	7	6	1	1	18	7	2	7	8	5	3	3	1	0	7	6	4	1	6	14	4	3	1	8	1	7	3	9	10	1
(null)	OG0000159	7	5	12	10	5	4	5	4	5	4	6	5	1	10	12	14	5	5	6	6	15	11	5	10	12	8	0	8	3	10	7	10	5	1	5	3	9	8
(null)	OG0000160	9	16	4	5	10	8	10	14	6	10	3	0	6	33	5	6	16	1	13	3	11	2	7	9	4	3	6	9	23	4	4	5	2	7	4	40	8	6
(null)	OG0000161	4	12	8	9	5	5	7	7	6	7	16	2	6	6	15	5	9	6	8	7	19	6	11	6	7	6	1	12	15	12	6	5	6	5	5	7	7	8
(null)	OG0000162	6	3	5	9	2	2	2	2	2	2	5	4	7	8	11	5	5	3	3	2	11	3	8	4	3	3	3	4	8	4	9	3	4	3	3	6	6	1
(null)	OG0000163	2	57	7	11	4	3	2	3	2	10	2	4	9	27	6	5	3	2	8	8	2	1	7	7	13	20	1	4	3	6	4	2	3	13	6	6	1	7
(null)	OG0000164	15	17	14	5	11	10	11	8	7	14	7	8	10	7	15	9	9	10	9	5	8	7	6	10	9	10	8	15	18	10	7	8	4	8	18	19	7	9
(null)	OG0000165	2	15	7	8	6	2	5	7	6	5	9	2	8	15	2	8	7	5	6	6	8	0	6	12	7	7	5	10	9	8	6	6	2	3	6	13	7	11
(null)	OG0000166	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	OG0000167	6	11	4	4	13	9	10	3	0	13	4	2	1	8	12	3	8	12	6	3	10	0	6	4	5	1	4	23	16	6	6	9	3	2	5	7	15	5
(null)	OG0000168	28	70	23	57	15	13	20	15	11	18	35	23	5	7	4	22	52	2	39	22	8	18	24	11	17	46	1	5	6	34	45	1	14	8	23	54	18	24
(null)	OG0000169	1	0	3	1	2	2	3	1	0	3	1	2	2	15	4	2	4	0	1	1	5	1	3	5	4	2	4	3	26	2	2	0	0	3	2	1	5	1
(null)	OG0000170	7	22	24	8	7	5	6	8	6	6	9	6	21	10	1	22	6	8	10	5	9	26	2	23	27	11	4	4	17	10	20	6	10	19	5	10	1	5
(null)	OG0000171	6	3	6	25	16	14	14	19	23	21	45	18	16	6	20	9	6	8	7	34	40	3	6	10	7	67	16	21	17	55	11	4	14	5	23	2	7	10
(null)	OG0000172	13	18	5	7	5	4	2	5	2	6	4	5	13	8	4	3	6	2	5	2	2	1	9	30	21	3	5	10	4	6	10	2	5	6	1	12	3	3
(null)	OG0000173	1	4	4	4	1	2	4	8	0	3	2	6	2	9	2	3	3	6	3	4	9	8	2	5	3	2	3	7	6	4	2	4	6	2	9	2	3	8
(null)	OG0000174	6	7	7	13	7	6	7	6	7	8	8	6	13	9	12	7	8	5	8	8	10	6	8	7	7	9	7	11	8	9	9	9	8	8	6	8	6	8
